Profundidade [m]	Fração Areia [%]
5000.0636	91.81963516720457
5000.216	91.51723541097479
5000.3684	91.28890680777087
5000.5208	91.21265006940685
5000.6732	91.3434361205465
5000.8256	91.40737399071179
5000.978	91.5695738342579
5001.1304	92.02574222816162
5001.2828	92.06884854652044
5001.4352	91.91120500540295
5001.5876	92.03439139530192
5001.74	92.15331835429058
5001.8924	92.06112291921
5002.0448	91.69762751413198
5002.1972	91.88879397013478
5002.3496	92.2689702708989
5002.502	92.14887188887279
5002.6544	91.93817065971221
5002.8068	91.7629311344353
5002.9592	91.84834275096809
5003.1116	92.03060838268635
5003.264	92.17265112906739
5003.4164	92.38015054971976
5003.5688	92.61974898919941
5003.7212	92.67550300586748
5003.8736	92.37946720191022
5004.026	92.07685768324798
5004.1784	91.81061153135146
5004.3308	91.50705085939974
5004.4832	91.60702465210979
5004.6356	91.9214566993755
5004.788	91.8670144548714
5004.9404	92.08333261540864
5005.0928	92.27272832851563
5005.2452	91.86871140765113
5005.3976	91.58602799209696
5005.55	91.72012028371081
5005.7024	91.8057158131241
5005.8548	91.96448461402127
5006.0072	92.01224682605607
5006.1596	91.92572837898058
5006.312	92.0084734017501
5006.4644	92.40243465644124
5006.6168	92.47489122381201
5006.7692	92.18280526895339
5006.9216	92.01354422177607
5007.074	91.61502767375592
5007.2264	91.49111677096174
5007.3788	92.3075366236334
5007.5312	93.36979462225774
5007.6836	94.11042036516722
5007.836	93.61102665131827
5007.9884	92.7000545610911
5008.1408	91.75234701035824
5008.2932	91.54451710005051
5008.4456	91.41427108160684
5008.598	91.50783531469189
5008.7504	91.6798659886599
5008.9028	91.57170630358029
5009.0552	91.56732075213823
5009.2076	91.75342594023441
5009.36	91.90218016615913
5009.5124	91.80782260861345
5009.6648	91.75253882244223
5009.8172	91.52824941766275
5009.9696	91.19237778921661
5010.122	91.38075368810156
5010.2744	91.94234496622687
5010.4268	92.09959204906215
5010.5792	91.92103905010505
5010.7316	91.78864149334555
5010.884	92.0661150518674
5011.0364	92.41794993121688
5011.1888	92.59144078773522
5011.3412	92.62882904114527
5011.4936	92.77796426573221
5011.646	92.75245265573213
5011.7984	92.8038997699178
5011.9508	92.9730979390752
5012.1032	92.86933463307459
5012.2556	92.74958450274478
5012.408	92.59322096093561
5012.5604	91.85636486755043
5012.7128	91.78667731446681
5012.8652	92.01090177039156
5013.0176	91.79528777797627
5013.17	91.33674406532717
5013.3224	91.1098121212251
5013.4748	91.31082520925217
5013.6272	91.70868358553814
5013.7796	91.68824944511206
5013.932	91.40603072341821
5014.0844	91.47015054714045
5014.2368	91.58343869701491
5014.3892	90.69392865593345
5014.5416	89.89977516850163
5014.694	89.40972087245416
5014.8464	89.11815171222615
5014.9988	88.72671577465594
5015.1512	88.75803742208691
5015.3036	89.10722038017225
5015.456	89.21659131448251
5015.6084	89.43995147401856
5015.7608	89.77558951897673
5015.9132	89.68416902392993
5016.0656	89.50573647166713
5016.218	89.61913830283154
5016.3704	89.8499062651802
5016.5228	89.70277645513522
5016.6752	89.40536025354164
5016.8276	89.22601971600432
5016.98	89.24698221565734
5017.1324	89.49375364308099
5017.2848	89.54581812902778
5017.4372	89.72028721817267
5017.5896	89.82892160557003
5017.742	89.76173020210507
5017.8944	89.74033147936478
5018.0468	89.69154976255469
5018.1992	89.44588782243008
5018.3516	89.26419726264928
5018.504	89.29698121504937
5018.6564	89.01418960850029
5018.8088	88.34933655490092
5018.9612	88.24211788532762
5019.1136	88.17988643754337
5019.266	88.17694196448991
5019.4184	88.05913489510637
5019.5708	87.96098862608352
