TVD "Sand Fraction"
4599.0992 97.1164059995141
4599.2516 96.43903613783291
4599.404 95.82038991438037
4599.5564 95.75005805790732
4599.7088 95.56757376903934
4599.8612 95.42279366489524
4600.0136 95.22458766349826
4600.166 95.18964564899318
4600.3184 95.1215258921726
4600.4708 95.10149748677159
4600.6232 95.14347423933529
4600.7756 95.33919795570934
4600.928 95.54746157127434
4601.0804 95.57148327117974
4601.2328 95.34179816571005
4601.3852 95.1775342991969
4601.5376 95.178380183201
4601.69 95.20767943896604
4601.8424 95.29911042188377
4601.9948 95.34601630872382
4602.1472 95.12606666994937
4602.2996 95.09856226509521
4602.452 95.37900842545734
4602.6044 95.59666374536016
4602.7568 95.3072767199739
4602.9092 94.7740056945594
4603.0616 94.55119068199973
4603.214 94.62067795826059
4603.3664 94.85387708962698
4603.5188 95.01423913630038
4603.6712 95.00206112177669
4603.8236 94.84149579435612
4603.976 94.63770964560965
4604.1284 94.45910934453363
4604.2808 94.63293416936693
4604.4332 94.78472222939057
4604.5856 94.69405811422622
4604.738 94.69328747913275
4604.8904 94.81075215419543
4605.0428 94.81033531355583
4605.1952 94.79585225347222
4605.3476 94.85064526217015
4605.5 94.82163198949958
4605.6524 94.7065288547011
4605.8048 94.87987331627336
4605.9572 95.17315269424968
4606.1096 95.12444814143035
4606.262 94.91341624780199
4606.4144 94.98212150606426
4606.5668 95.00942081478345
4606.7192 94.79164875888854
4606.8716 94.72908070769999
4607.024 94.72936663069945
4607.1764 94.85227764932876
4607.3288 95.05131162252557
4607.4812 94.97997191331461
4607.6336 94.85644041096452
4607.786 95.05304272960461
4607.9384 95.63516602282034
4608.0908 95.57325042002907
4608.2432 95.13375627462341
4608.3956 94.85713050118558
4608.548 95.00290075723782
4608.7004 95.10659543464372
4608.8528 94.91796472059724
4609.0052 94.6821442574802
4609.1576 94.75319935589089
4609.31 95.1122250586165
4609.4624 95.44822275258467
4609.6148 95.35624108083564
4609.7672 95.43724257460255
4609.9196 95.82049616348283
4610.072 95.84474328016424
4610.2244 95.24865092897821
4610.3768 95.02411334342762
4610.5292 95.01997221391004
4610.6816 95.124165705225
4610.834 95.23541460031394
4610.9864 95.34741863567476
4611.1388 95.29235759306343
4611.2912 94.99144929005013
4611.4436 94.3313346643954
4611.596 94.36417829679142
4611.7484 95.13260512406238
4611.9008 95.33638171940959
4612.0532 95.24510158015053
4612.2056 95.07356935288702
4612.358 94.69461956544114
4612.5104 94.37846486261805
4612.6628 94.21698453574241
4612.8152 93.89985251180832
4612.9676 93.10788949989272
4613.12 92.6403980496513
4613.2724 92.54709500054841
4613.4248 92.67301419300085
4613.5772 93.28867626610912
4613.7296 93.38604344483005
4613.882 92.98914021878049
4614.0344 92.5976827124474
4614.1868 92.40863922178453
4614.3392 91.67527709557311
4614.4916 91.48615406955358
4614.644 91.88620213882255
4614.7964 92.18188120673594
4614.9488 92.45211152016401
4615.1012 92.41118195765745
4615.2536 92.20439550188469
4615.406 92.2032351937165
4615.5584 92.76124220577422
4615.7108 93.25043606913272
4615.8632 93.21588125139442
4616.0156 92.89228814517342
4616.168 92.48602892785989
4616.3204 92.341615245966
4616.4728 92.85209800222236
4616.6252 93.38692494407593
4616.7776 93.42594008593785
4616.93 93.15668417312237
4617.0824 92.6525712499092
4617.2348 92.31185724792195
4617.3872 92.41398346598876
4617.5396 92.68585365040893
4617.692 92.83477147621382
4617.8444 93.00855482838824
4617.9968 92.92702664854164
4618.1492 92.22390201255945
4618.3016 91.94344213282817
4618.454 91.77518954218942
4618.6064 91.46139096500478
4618.7588 91.29944284782509
4618.9112 91.62614476726209
4619.0636 92.10348657449255
4619.216 92.1271059344585
4619.3684 92.27213746505116
4619.5208 92.35288897067157
4619.6732 92.24633087099248
4619.8256 92.10808109897314
4619.978 92.06619824823463
4620.1304 92.15599782566619
4620.2828 91.97357738704734
4620.4352 91.94195140925436
4620.5876 91.99828200059143
4620.74 92.01328236583505
4620.8924 92.17945246849892
4621.0448 92.12163569060311
4621.1972 92.12921786723204
4621.3496 92.27486717282858
4621.502 92.2862328118421
4621.6544 92.2615475408706
4621.8068 92.36249713201103
4621.9592 92.42578740481657
4622.1116 92.40696750962962
4622.264 92.17989083825861
4622.4164 91.93087043285256
4622.5688 91.96063469278599
4622.7212 91.94494472022075
4622.8736 91.76126520725192
4623.026 91.75702214309305
4623.1784 91.66423496944853
4623.3308 91.5939272259094
4623.4832 91.48348528500144
4623.6356 91.55824678411064
4623.788 92.14683225975007
4623.9404 92.50187182284138
4624.0928 92.46765219662754
4624.2452 92.21503780564268
4624.3976 91.74666412063637
4624.55 91.47574351021032
4624.7024 91.33574985265682
4624.8548 91.50475774052988
4625.0072 91.81543478696561
4625.1596 92.2676229467783
4625.312 92.11133371598599
4625.4644 91.83176688080398
4625.6168 91.92064526210837
4625.7692 91.85616164647794
4625.9216 91.91732772707499
4626.074 92.31469016112672
4626.2264 92.400621353897
4626.3788 92.22849302479365
4626.5312 92.34244084852511
4626.6836 92.58488148289787
4626.836 92.3944742791203
4626.9884 91.81421407289622
4627.1408 91.65587005719553
4627.2932 92.20499932090908
4627.4456 92.5733411873229
4627.598 93.08735240141563
4627.7504 93.35861408576223
4627.9028 92.65148390109567
4628.0552 92.04155186410883
4628.2076 91.96040821410276
