Profundidade COT IH IO OF_class
5174.9816 0.676003 435.600377 66.016927 1
5175.4816 1.166226 340.190877 104.39513 1
5175.9816 2.038243 280.159901 128.704484 1
5176.4816 1.977277 279.461041 129.393375 1
5176.9816 2.018314 280.737813 128.644979 1
5177.4816 1.371214 316.50023 113.924626 1
5177.9816 0.543963 488.763787 44.632095 1
5178.4816 0.805186 400.638541 80.080227 1
5178.9816 0.646193 451.492735 59.624271 1
5179.4816 0.869899 387.934822 85.190263 1
5179.9816 1.98945 279.375586 129.332257 1
5180.4816 1.983272 278.20837 129.786117 1
5180.9816 1.939485 277.893014 130.230949 1
5181.4816 1.972969 276.92643 130.311423 1
5181.9816 2.020621 281.227632 128.11293 1
5182.4816 2.062656 280.529431 128.404668 1
5182.9816 2.034411 281.278411 128.092504 1
5183.4816 0.868859 373.327726 91.065926 1
5183.9816 1.647484 298.52934 121.153367 1
5184.4816 2.034967 281.07999 128.406231 1
5184.9816 1.981372 281.790384 128.548779 1
5185.4816 2.030177 281.864628 128.166162 1
5185.9816 1.875949 287.078232 125.759543 1
5186.4816 1.675619 296.645143 121.91128 1
5186.9816 1.969246 280.540629 129.076802 1
5187.4816 1.858068 287.401699 125.629429 1
5187.9816 1.383575 314.705945 114.646373 1
5188.4816 1.863581 287.045917 125.772541 1
5188.9816 1.970477 281.405369 128.765341 1
5189.4816 1.941415 281.994867 128.782699 1
5189.9816 1.688142 293.797278 123.056825 1
5190.4816 1.731963 293.333683 123.243305 1
5190.9816 1.338939 317.174276 113.653493 1
5191.4816 0.976113 356.373991 97.885518 2
5191.9816 0.59095 452.274259 59.309905 1
5192.4816 0.714348 411.186637 75.837285 1
5192.9816 0.792303 391.438417 83.780951 1
5193.4816 0.790813 391.480234 83.764131 2
5193.9816 1.184426 331.278361 107.980165 1
5194.4816 1.614623 299.170695 120.895384 1
5194.9816 1.478352 307.486838 117.550238 1
5195.4816 1.711497 294.154219 122.913247 1
5195.9816 1.943576 285.573026 126.365008 1
5196.4816 1.889811 287.527998 125.578625 1
5196.9816 2.05387 280.485441 128.481008 1
5197.4816 1.768798 292.301743 123.6584 1
5197.9816 1.9921 282.70966 127.516789 1
5198.4816 1.890102 287.259544 125.68661 1
5198.9816 2.050732 279.987189 128.676992 1
5199.4816 2.030202 280.861783 128.260092 1
5199.9816 1.543628 303.680683 119.081253 1
5200.4816 1.974111 283.988696 127.0023 1
5200.9816 1.98363 279.928158 129.182549 1
5201.4816 1.913215 281.252847 129.26515 1
5201.9816 1.813588 282.431598 129.69738 1
5202.4816 1.651911 282.886493 131.124929 1
5202.9816 1.793046 281.12676 130.338998 1
5203.4816 1.90663 279.376017 129.97398 1
5203.9816 1.901465 284.684524 126.722405 1
5204.4816 1.842639 289.059479 124.962592 1
5204.9816 2.013201 280.561869 128.743446 1
5205.4816 1.86257 287.992084 125.391948 1
5205.9816 1.878005 287.393504 125.632725 1
5206.4816 1.57271 301.973085 119.76813 1
5206.9816 1.232783 328.105446 109.256461 1
5207.4816 1.832702 288.559335 125.163773 1
5207.9816 1.620679 300.124898 120.511558 1
5208.4816 2.038862 281.280328 128.091733 1
5208.9816 1.934767 285.728541 126.302452 1
5209.4816 2.052592 281.162238 128.253447 1
5209.9816 1.948404 281.384514 128.941642 1
5210.4816 1.642926 299.761361 120.65779 1
5210.9816 1.454454 312.379602 115.582138 1
5211.4816 1.262847 326.626276 109.851453 1
5211.9816 1.484155 309.229536 116.849243 1
5212.4816 1.379771 316.189351 114.049677 1
5212.9816 1.197194 332.409371 107.525219 1
5213.4816 1.146668 337.636579 105.42259 2
5213.9816 1.109395 343.003269 103.263854 1
5214.4816 1.121732 340.14444 104.413809 1
5214.9816 1.311847 322.061751 111.68752 1
5215.4816 1.620292 299.921998 120.593174 1
5215.9816 1.638727 298.448827 121.185753 1
5216.4816 1.18678 333.06076 107.2632 1
5216.9816 0.731242 408.199145 77.038995 1
5217.4816 0.943191 364.828058 94.484893 1
5217.9816 1.152505 336.014093 106.07523 1
5218.4816 0.972194 360.02374 96.417417 1
5218.9816 0.919564 369.190717 92.730026 1
5219.4816 0.846962 383.076519 87.144501 2
5219.9816 1.205666 331.813572 107.764878 1
5220.4816 1.357137 318.755278 113.01754 1
5220.9816 1.517937 305.918324 118.181168 1
5221.4816 1.230847 328.984472 108.902875 2
5221.9816 1.50355 306.754831 117.844686 1
5222.4816 1.325434 319.235684 112.824298 1
5222.9816 0.768341 398.194512 81.063331 1
5223.4816 1.387831 315.333232 114.394048 1
5223.9816 1.426619 311.567165 115.908938 1
5224.4816 1.704442 295.418304 122.404772 1
5224.9816 1.725247 294.180006 122.902874 1
5225.4816 1.63638 298.843449 121.027017 1
5225.9816 0.969336 358.886568 96.874841 1
5226.4816 1.452048 309.590567 116.704019 1
5226.9816 1.477815 310.694315 116.260039 1
5227.4816 1.429695 310.860111 116.193349 1
5227.9816 1.564906 302.454713 119.574396 1
5228.4816 1.740473 292.786978 123.463215 1
5228.9816 1.438103 311.863052 115.789918 1
5229.4816 1.107604 343.034646 103.251232 2
5229.9816 1.499995 307.409074 117.581518 1
5230.4816 1.412211 313.870306 114.982506 1
5230.9816 1.080526 344.968436 102.473371 2
5231.4816 1.444769 310.708633 116.25428 1
5231.9816 1.523016 305.578854 118.31772 1
5232.4816 1.81497 289.818488 124.657282 1
5232.9816 1.91979 286.298287 126.073273 1
5233.4816 1.778382 292.274991 123.669161 1
5233.9816 1.865091 287.652804 125.528423 1
5234.4816 1.806098 291.173343 124.112296 1
5234.9816 2.056385 281.670192 127.934911 1
5235.4816 1.973634 284.660739 126.731972 1
5235.9816 1.647099 300.610186 120.316352 1
5236.4816 1.690626 292.492227 123.581778 1
5236.9816 1.717292 294.926022 122.602791 1
5237.4816 1.491176 309.31111 116.81643 1
5237.9816 1.992423 282.255715 127.699386 1
5238.4816 1.70305 295.425427 122.401907 1
5238.9816 1.422986 314.790756 114.612258 1
5239.4816 1.768901 293.672627 123.106966 1
5239.9816 1.999565 284.212088 126.912441 1
5240.4816 1.429645 312.498226 115.534422 1
5240.9816 1.016844 354.04456 98.822525 2
5241.4816 1.514703 306.083015 118.114922 1
5241.9816 1.864255 289.260283 124.881819 1
5242.4816 1.468042 309.735633 116.645667 1
5242.9816 1.594508 302.146508 119.698371 1
5243.4816 1.328308 319.89423 112.5594 1
5243.9816 1.619062 300.923499 120.190323 1
5244.4816 1.432996 311.770789 115.827031 1
5244.9816 1.344029 318.877107 112.968534 1
5245.4816 1.870825 288.411004 125.223439 1
5245.9816 1.782801 292.484803 123.584765 1
5246.4816 1.657817 298.612305 121.119994 1
5246.9816 1.166455 335.685829 106.207273 1
5247.4816 0.817688 388.029409 85.152215 2
5247.9816 1.312915 321.428265 111.942338 1
5248.4816 1.876537 288.344193 125.250313 1
5248.9816 1.741929 294.167278 122.907994 1
5249.4816 1.484569 308.659065 117.078713 1
5249.9816 1.539145 305.784161 118.235135 1
5250.4816 1.425569 313.735177 115.036861 1
5250.9816 1.710745 295.522315 122.362934 1
5251.4816 1.250906 327.933941 109.325448 1
5251.9816 1.187851 333.64037 107.030053 1
5252.4816 1.174228 335.953353 106.099662 1
5252.9816 1.086319 345.452634 102.278604 1
5253.4816 1.7988 292.316569 123.652436 1
5253.9816 0.955624 361.430009 95.851749 2
5254.4816 1.169726 337.448792 105.498126 2
5254.9816 1.206238 331.720303 107.802395 2
5255.4816 1.234456 330.116848 108.44738 1
5255.9816 1.050359 351.099522 100.007159 1
5256.4816 1.277778 326.126333 110.052554 1
5256.9816 1.370271 317.425443 113.552462 1
5257.4816 1.212875 332.449601 107.509037 1
5257.9816 1.260153 326.582908 109.868898 1
5258.4816 1.46844 309.011498 116.936948 1
5258.9816 1.209428 332.861118 107.343505 1
5259.4816 1.660495 299.018533 120.95659 1
5259.9816 1.253897 325.971771 110.114726 1
5260.4816 1.676258 297.786504 121.45217 1
5260.9816 1.278843 325.529494 110.29263 2
5261.4816 1.507198 306.410727 117.983101 1
5261.9816 1.643803 298.484224 121.171515 1
5262.4816 1.398428 281.599522 134.800367 1
5262.9816 1.765127 281.566327 130.444741 1
5263.4816 1.194206 331.097018 108.05311 1
5263.9816 2.023679 282.07647 127.771487 1
5264.4816 1.013645 352.69094 99.367015 1
5264.9816 0.908781 369.26192 92.701385 1
5265.4816 1.500183 306.051018 118.127793 1
5265.9816 1.604035 299.78974 120.646374 1
5266.4816 1.800276 290.9505 124.201934 1
5266.9816 2.06011 280.15814 128.552011 1
5267.4816 2.048529 280.014543 128.682851 1
5267.9816 2.054365 279.492111 128.824625 1
5268.4816 1.992649 281.265658 128.097634 1
5268.9816 1.926159 284.235484 126.90303 1
5269.4816 1.854565 286.694858 125.913754 1
5269.9816 1.794098 290.968464 124.194708 1
5270.4816 1.723829 294.09311 122.937828 1
5270.9816 1.656008 297.856703 121.423933 1
5271.4816 1.583658 301.232364 120.066083 1
5271.9816 1.508585 304.488709 118.756227 1
5272.4816 1.410133 304.075481 118.922447 1
5272.9816 1.345298 309.757447 116.636892 1
5273.4816 1.276861 315.354783 114.38538 1
5273.9816 1.207264 321.366427 111.967213 1
5274.4816 1.140944 328.7511 108.996749 1
5274.9816 1.074658 337.053926 105.65696 1
5275.4816 0.950537 354.903308 98.477096 2
5275.9816 1.015203 346.437054 101.882623 2
5276.4816 1.22133 323.78445 110.994569 1
5276.9816 1.055584 342.913318 103.300036 2
5277.4816 0.973952 355.230559 98.345461 1
5277.9816 0.907783 367.055533 93.588898 1
5278.4816 0.988702 355.006497 98.435589 1
5278.9816 1.12881 337.607677 105.434215 1
5279.4816 0.934164 365.760844 94.109683 1
5279.9816 1.150844 336.892215 105.722008 1
5280.4816 1.105851 343.090692 103.228688 1
5280.9816 0.853982 384.261162 86.667982 1
5281.4816 1.216242 332.552239 107.467751 2
5281.9816 0.992033 361.869271 95.675057 1
5282.4816 0.973393 365.954131 94.031934 1
5282.9816 0.994124 363.776157 94.908018 1
5283.4816 0.692758 433.310499 66.938024 1
5283.9816 0.722562 425.597532 70.040543 1
5284.4816 0.505384 520.309386 31.942966 1
5284.9816 0.472684 540.754173 23.719108 0
5285.4816 0.510718 515.912177 33.711731 1
5285.9816 0.821559 404.168759 78.660207 1
5286.4816 0.946583 376.529348 89.778082 1
5286.9816 0.978955 368.078737 93.177317 2
5287.4816 0.85403 389.337849 84.625899 1
5287.9816 0.801273 400.958408 79.951562 1
5288.4816 1.48259 314.434274 114.755652 1
5288.9816 1.434704 317.178659 113.65173 1
5289.4816 0.735664 422.255296 71.384948 1
5289.9816 1.026885 359.33338 96.695112 1
5290.4816 0.933185 371.972177 91.611192 2
5290.9816 1.265551 327.801601 109.378682 2
5291.4816 1.253992 328.225776 109.208059 1
5291.9816 0.936694 370.123751 92.354716 1
5292.4816 0.692275 424.084594 70.649118 1
5292.9816 0.981152 360.706355 96.142837 1
5293.4816 1.029841 353.048743 99.22309 1
5293.9816 0.882055 379.791512 88.465886 1
5294.4816 0.741222 408.005518 77.116881 1
5294.9816 0.984476 362.53018 95.409208 1
5295.4816 0.899298 376.585543 89.755478 1
5295.9816 0.481168 517.42595 33.10282 0
5296.4816 0.512596 497.150678 41.258491 1
5296.9816 0.488977 510.595904 35.850187 0
5297.4816 0.533401 491.166688 43.665535 2
5297.9816 0.814146 395.122496 82.299041 2
5298.4816 0.455658 534.939178 26.058173 0
5298.9816 0.921249 375.815939 90.065049 1
5299.4816 0.933687 377.043155 89.571405 1
5299.9816 0.540041 494.555889 42.302238 1
5300.4816 0.546692 491.165276 43.666102 1
5300.9816 0.976126 372.590868 91.362325 1
5301.4816 1.169667 337.664796 105.411239 1
5301.9816 0.90696 372.163008 91.53443 2
5302.4816 0.927008 367.396175 93.451876 1
5302.9816 0.925105 369.544513 92.587713 1
5303.4816 1.782807 289.843717 124.647134 1
