Profundidade [m]	Fração Areia [%]
5250.152	92.05639945306132
5250.3044	91.8859692104202
5250.4568	92.1976040632958
5250.6092	92.27697138609699
5250.7616	91.81394521897911
5250.914	91.54033315256885
5251.0664	91.44833164331698
5251.2188	91.76594600667534
5251.3712	92.51987293987207
5251.5236	92.71859483376099
5251.676	92.48685960454111
5251.8284	92.54510879485514
5251.9808	92.8270068779639
5252.1332	93.06802904742966
5252.2856	93.09021609016543
5252.438	92.81038479582003
5252.5904	93.03365107947319
5252.7428	93.51202096588847
5252.8952	93.45564071495609
5253.0476	92.85667874532184
5253.2	92.1616339340323
5253.3524	91.49436712607199
5253.5048	91.27179785639005
5253.6572	91.4128256851478
5253.8096	92.19115509424107
5253.962	93.45873981273176
5254.1144	93.50739657734329
5254.2668	93.14922772413594
5254.4192	92.92362456585828
5254.5716	92.85521262030163
5254.724	92.86172826232442
5254.8764	92.77244022543081
5255.0288	92.78051051782523
5255.1812	92.8298133346504
5255.3336	92.79720501200272
5255.486	92.71096601671762
5255.6384	92.74987557040721
5255.7908	92.9296514259419
5255.9432	93.12971071472798
5256.0956	93.5000419399713
5256.248	93.46707510831045
5256.4004	92.93192719540511
5256.5528	92.31577998240826
5256.7052	91.9408070546389
5256.8576	92.23254351437014
5257.01	92.37367226886921
5257.1624	92.27261860860581
5257.3148	92.36005759829315
5257.4672	92.74056080835766
5257.6196	93.09555551467503
5257.772	93.39313010304848
5257.9244	92.94497517652522
5258.0768	92.13823940215545
5258.2292	91.99164020481999
5258.3816	92.09216559893424
5258.534	92.0789432697004
5258.6864	92.40702632334002
5258.8388	92.9415859557682
5258.9912	92.7729184301972
5259.1436	91.95032057484505
5259.296	91.18812005821005
5259.4484	91.47275319817656
5259.6008	92.2149180890541
5259.7532	92.52218707129798
5259.9056	92.70473790262376
5260.058	92.57311847781034
5260.2104	91.78447466180127
5260.3628	91.31574604535105
5260.5152	91.66546405595051
5260.6676	92.02401645061751
5260.82	92.13975914317194
5260.9724	92.57671929094305
5261.1248	92.81164308425254
5261.2772	92.5670302777363
5261.4296	92.13807317659273
5261.582	91.69896065978888
5261.7344	91.48902526375463
5261.8868	91.67379898745314
5262.0392	91.64039973947418
5262.1916	90.17400144950048
5262.344	86.34209653633779
5262.4964	81.76131215736473
5262.6488	80.97798944682167
5262.8012	85.089731516012
5262.9536	87.81377457893306
5263.106	90.19590917219631
5263.2584	91.21042411458353
5263.4108	92.63984409178698
5263.5632	92.97276134946087
5263.7156	92.38561917274963
5263.868	91.37545497582514
5264.0204	90.58858436022297
5264.1728	91.24173201581411
5264.3252	92.79737984254595
5264.4776	93.29220486182597
5264.63	93.45471436192013
5264.7824	93.78221373742261
5264.9348	93.80149821741546
5265.0872	93.17167427655468
5265.2396	92.40978379983258
5265.392	91.92085279339564
5265.5444	92.04650904593205
5265.6968	92.00426287673966
5265.8492	91.70502909173723
5266.0016	91.74401128379147
5266.154	91.77779583564643
5266.3064	91.4248383359212
5266.4588	91.30344287786116
5266.6112	91.18748643294985
5266.7636	91.19886567731153
5266.916	90.87894357028499
5267.0684	90.42425157028691
5267.2208	90.53688562243045
5267.3732	90.69880860169104
5267.5256	90.53777821567905
5267.678	
5267.8304	
5267.9828	
5268.1352	
5268.2876	
5268.44	
5268.5924	
5268.7448	
5268.8972	
5269.0496	
5269.202	
5269.3544	
5269.5068	
5269.6592	
5269.8116	
5269.964	
5270.1164	
5270.2688	
5270.4212	
5270.5736	
5270.726	
5270.8784	
5271.0308	
5271.1832	
5271.3356	
5271.488	
5271.6404	
5271.7928	
5271.9452	
5272.0976	
5272.25	
5272.4024	
5272.5548	
5272.7072	
5272.8596	
5273.012	
5273.1644	
5273.3168	
5273.4692	
5273.6216	
5273.774	
5273.9264	
5274.0788	
5274.2312	
5274.3836	
5274.536	
5274.6884	
5274.8408	
5274.9932	97.16809407110567
5275.1456	97.29323572027155
5275.298	97.22714614853976
5275.4504	96.93244078140626
5275.6028	96.51219189679765
5275.7552	96.26109293366324
5275.9076	96.70143769841188
5276.06	97.316975099063
5276.2124	97.4442714727445
5276.3648	97.57876124473044
5276.5172	97.48013859135247
5276.6696	97.27820887284639
5276.822	97.29787180198363
5276.9744	97.11186550925652
5277.1268	96.80119611111041
5277.2792	96.81191197590576
5277.4316	96.89030421379714
5277.584	96.8639432529357
5277.7364	96.85505509297252
5277.8888	96.7372215224344
5278.0412	96.6730152643801
5278.1936	96.76076815650912
5278.346	96.9571119846194
5278.4984	96.89876099738537
5278.6508	96.64228844073574
5278.8032	96.7684067270778
5278.9556	97.24766523322388
5279.108	97.26199862975761
5279.2604	96.82192434076345
5279.4128	96.65979731431182
5279.5652	96.84823045184841
5279.7176	97.13817674690677
5279.87	97.27288076193186
5280.0224	97.29496674647697
5280.1748	97.65171157351529
5280.3272	97.6196638243785
5280.4796	97.17501714066697
5280.632	96.92403471378562
5280.7844	96.43856825398007
5280.9368	96.33114577402434
5281.0892	96.88585932082808
5281.2416	97.17924539658216
5281.394	97.36987788380544
5281.5464	97.46160684047152
5281.6988	97.2566776558903
5281.8512	96.94975787846019
5282.0036	96.842637999868
5282.156	96.58956510155252
5282.3084	96.53604196424625
5282.4608	96.77785685366935
5282.6132	96.94197157493707
5282.7656	96.9610648213178
5282.918	96.90571754374366
5283.0704	96.76318054999433
5283.2228	96.62596030196104
5283.3752	96.31698076397738
5283.5276	95.82110120540104
5283.68	95.15296518694892
5283.8324	95.19842002308808
5283.9848	96.07455617938744
5284.1372	96.33304927912035
5284.2896	95.67190289949497
5284.442	95.0916663669993
5284.5944	94.828900866309
5284.7468	95.00226440748642
5284.8992	95.09553024160469
5285.0516	95.16736750485157
5285.204	95.19835493240392
5285.3564	95.41988591259806
5285.5088	95.01003511420984
5285.6612	93.81637020642464
5285.8136	93.45485160098788
5285.966	93.9337347983902
5286.1184	94.61010873773867
5286.2708	94.27391634390008
5286.4232	93.5732436108076
5286.5756	93.65265646937179
5286.728	93.95191844835516
5286.8804	93.60299960076316
5287.0328	93.4231118710198
5287.1852	94.100803653259
5287.3376	94.30928040079903
5287.49	93.81623441881123
5287.6424	93.57029165780159
5287.7948	93.47355671320639
5287.9472	93.88985287082157
5288.0996	94.40796545547857
5288.252	93.64073815238578
5288.4044	92.47041789888229
5288.5568	91.786392949692
5288.7092	91.90214243402389
5288.8616	92.06365783715758
5289.014	92.2771251430283
5289.1664	93.05562866112587
5289.3188	93.84609453650302
5289.4712	94.26814518261968
5289.6236	93.87012177049894
5289.776	93.30919560714676
5289.9284	93.34388629130943
5290.0808	93.30985025525464
5290.2332	93.05967778071845
5290.3856	93.28575790479144
5290.538	93.76860720007485
5290.6904	93.76501488581322
5290.8428	93.04583941438767
5290.9952	92.59741393841922
5291.1476	92.94615900494823
5291.3	92.9943832934995
5291.4524	92.68372012753281
5291.6048	92.56518836190786
5291.7572	92.75226806266895
5291.9096	93.1702905315652
5292.062	94.03100905596385
5292.2144	94.24631284042202
5292.3668	94.18241960926845
5292.5192	94.34528608865106
5292.6716	94.27764418037681
5292.824	93.70300157424549
5292.9764	93.41798315880543
5293.1288	93.40772343342391
5293.2812	92.84836989300662
5293.4336	92.86292654322972
5293.586	94.23635788096793
5293.7384	94.63464877815828
5293.8908	93.91354426513449
5294.0432	93.60335259773845
5294.1956	93.49096066314475
5294.348	93.88302114273621
5294.5004	94.1708556054566
5294.6528	93.92233258588796
5294.8052	93.5941734868607
5294.9576	93.39516941847891
5295.11	93.6032387281463
5295.2624	93.62679023594409
5295.4148	93.63109126394644
5295.5672	93.73383526071204
5295.7196	93.92887438770788
5295.872	94.68289084297817
5296.0244	95.21185839654534
5296.1768	95.14149081158337
5296.3292	95.02642164159441
5296.4816	95.46149530540956
5296.634	95.52475652318509
5296.7864	95.10491043834143
5296.9388	94.98384512207917
