Profundidade[m]	Densidade_Aparente_Seca[g/cm3]
5150.6348	2.367819
5150.7872	2.372478
5150.9396	2.3779
5151.092	2.37007
5151.2444	2.363827
5151.3968	2.353829
5151.5492	2.365686
5151.7016	2.362234
5151.854	2.375352
5152.0064	2.372641
5152.1588	2.383152
5152.3112	2.389453
5152.4636	2.405355
5152.616	2.414889
5152.7684	2.410962
5152.9208	2.395845
5153.0732	2.390854
5153.2256	2.370944
5153.378	2.368412
5153.5304	2.395893
5153.6828	2.394671
5153.8352	2.396289
5153.9876	2.408206
5154.14	2.407753
5154.2924	2.394744
5154.4448	2.387161
5154.5972	2.383867
5154.7496	2.368304
5154.902	2.357148
5155.0544	2.349132
5155.2068	2.353132
5155.3592	2.350349
5155.5116	2.357985
5155.664	2.359178
5155.8164	2.352535
5155.9688	2.354281
5156.1212	2.351615
5156.2736	2.356001
5156.426	2.361056
5156.5784	2.388594
5156.7308	2.436685
5156.8832	2.467377
5157.0356	2.458262
5157.188	2.42054
5157.3404	2.385044
5157.4928	2.38465
5157.6452	2.376545
5157.7976	2.363712
5157.95	2.351082
5158.1024	2.349546
5158.2548	2.34514
5158.4072	2.349397
5158.5596	2.349681
5158.712	2.352873
5158.8644	2.334085
5159.0168	2.337827
5159.1692	2.354838
5159.3216	2.372956
5159.474	2.354465
5159.6264	2.332285
5159.7788	2.311591
5159.9312	2.310192
5160.0836	2.338743
5160.236	2.324231
5160.3884	2.277887
5160.5408	2.280017
5160.6932	2.283157
5160.8456	2.263764
5160.998	2.259708
5161.1504	2.275907
5161.3028	2.284228
5161.4552	2.307159
5161.6076	2.339013
5161.76	2.359207
5161.9124	2.365258
5162.0648	2.365869
5162.2172	2.361464
5162.3696	2.361436
5162.522	2.372313
5162.6744	2.380803
5162.8268	2.3777
5162.9792	2.355987
5163.1316	2.357312
5163.284	2.35809
5163.4364	2.364347
5163.5888	2.382365
5163.7412	2.385242
5163.8936	2.370079
5164.046	2.350248
5164.1984	2.248383
5164.3508	2.194451
5164.5032	2.163701
5164.6556	2.158884
5164.808	2.169635
5164.9604	2.173043
5165.1128	2.164028
5165.2652	2.185968
5165.4176	2.191699
5165.57	2.195077
5165.7224	2.226429
5165.8748	2.268525
5166.0272	2.299854
5166.1796	2.341118
5166.332	2.368243
5166.4844	2.404711
5166.6368	2.416028
5166.7892	2.402552
5166.9416	2.384981
5167.094	2.344294
5167.2464	2.328446
5167.3988	2.331903
5167.5512	2.334353
5167.7036	2.343003
5167.856	2.360575
5168.0084	2.384554
5168.1608	2.400643
5168.3132	2.425912
5168.4656	2.450451
5168.618	2.432813
5168.7704	2.376995
5168.9228	2.341464
5169.0752	2.322537
5169.2276	2.370276
5169.38	2.42506
5169.5324	2.440088
5169.6848	2.4456
5169.8372	2.462047
5169.9896	2.487708
5170.142	2.499465
5170.2944	2.519198
5170.4468	2.531181
5170.5992	2.528338
5170.7516	2.506883
5170.904	2.469748
5171.0564	2.457837
5171.2088	2.451422
5171.3612	2.449308
5171.5136	2.459456
5171.666	2.457857
5171.8184	2.398961
5171.9708	2.36699
5172.1232	2.364979
5172.2756	2.414729
5172.428	2.46259
5172.5804	2.487274
5172.7328	2.469444
5172.8852	2.434153
5173.0376	2.397346
5173.19	2.353609
5173.3424	2.338024
5173.4948	2.341132
5173.6472	2.337499
5173.7996	2.336296
5173.952	2.331064
5174.1044	2.308715
5174.2568	2.30505
5174.4092	2.305169
5174.5616	2.295229
5174.714	2.280766
5174.8664	2.281311
5175.0188	2.293523
5175.1712	2.290492
5175.3236	2.286061
5175.476	2.28295
5175.6284	2.305374
5175.7808	2.330915
5175.9332	2.358486
5176.0856	2.38032
5176.238	2.385659
5176.3904	2.399169
5176.5428	2.402606
5176.6952	2.38931
5176.8476	2.366762
5177	2.342454
5177.1524	2.332729
5177.3048	2.343591
5177.4572	2.364424
5177.6096	2.369714
5177.762	2.35239
5177.9144	2.310038
