Profundidade[m]	Fracao_de_Areia[%]
2891.6096	67.02493362
2891.762	67.2872602
2891.9144	67.4817107
2892.0668	67.64357274
2892.2192	67.78252868
2892.3716	67.08046863
2892.524	67.68291376
2892.6764	67.26310803
2892.8288	67.07431161
2892.9812	67.05583681
2893.1336	66.64256779
2893.286	65.87444774
2893.4384	65.67948783
2893.5908	65.39701562
2893.7432	66.02162823
2893.8956	66.61315572
2894.048	67.11114514
2894.2004	67.47253575
2894.3528	67.34245735
2894.5052	68.16423495
2894.6576	68.52492119
2894.81	68.27152942
2894.9624	67.87364924
2895.1148	67.81108608
2895.2672	67.81069363
2895.4196	67.97275446
2895.572	67.98723446
2895.7244	68.39563862
2895.8768	68.27922076
2896.0292	67.79038085
2896.1816	67.592785
2896.334	67.41419795
2896.4864	67.7169231
2896.6388	68.06427215
2896.7912	68.16560048
2896.9436	68.2845749
2897.096	68.48923136
2897.2484	68.10802631
2897.4008	67.66216456
2897.5532	67.06428029
2897.7056	66.69035724
2897.858	66.7543845
2898.0104	67.3364257
2898.1628	67.41706186
2898.3152	67.21081144
2898.4676	67.29834322
2898.62	67.13456404
2898.7724	67.30981994
2898.9248	67.19198157
2899.0772	67.06825328
2899.2296	66.80268515
2899.382	67.03030057
2899.5344	67.32683314
2899.6868	68.14794376
2899.8392	68.9098486
2899.9916	68.63263744
2900.144	67.90480855
2900.2964	67.81579528
2900.4488	67.46947713
2900.6012	67.143691
2900.7536	67.62408946
2900.906	68.20625951
2901.0584	67.83188229
2901.2108	68.90666956
2901.3632	69.27488368
2901.5156	69.01898871
2901.668	68.99177052
2901.8204	70.25458817
2901.9728	71.09283101
2902.1252	70.70185447
2902.2776	70.95492045
2902.43	70.92113635
2902.5824	71.08039162
2902.7348	71.54744319
2902.8872	71.56604324
2903.0396	70.75854956
2903.192	70.68503148
2903.3444	70.94719744
2903.4968	70.80530249
2903.6492	72.50411323
2903.8016	73.83118232
2903.954	73.19938454
2904.1064	69.94557335
2904.2588	69.94349075
2904.4112	70.09221108
2904.5636	68.91909572
2904.716	67.28092613
2904.8684	66.63756674
2905.0208	67.29586951
2905.1732	68.09816487
2905.3256	68.69473793
2905.478	69.80777381
2905.6304	70.65698237
2905.7828	70.92662877
2905.9352	70.98329136
2906.0876	71.73996655
2906.24	71.61150522
2906.3924	70.94300984
2906.5448	70.29017184
2906.6972	70.1231747
2906.8496	71.83039719
