Profundidade[m]	Idade[Ma]
5142.1004	84.9452971
5142.2528	84.9492769
5142.4052	84.9532568
5142.5576	84.9572367
5142.71	84.9612166
5142.8624	84.9651964
5143.0148	84.9691763
5143.1672	84.9731562
5143.3196	84.9771361
5143.472	84.9811159
5143.6244	84.9850958
5143.7768	84.9890757
5143.9292	84.9930555
5144.0816	84.9970354
5144.234	85.0010153
5144.3864	85.0049952
5144.5388	85.008975
5144.6912	85.0129549
5144.8436	85.0169348
5144.996	85.0209146
5145.1484	85.0248945
5145.3008	85.0288744
5145.4532	85.0328543
5145.6056	85.0368341
5145.758	85.040814
5145.9104	85.0447939
5146.0628	85.0487738
5146.2152	85.0527536
5146.3676	85.0567335
5146.52	85.0607134
5146.6724	85.0646932
5146.8248	85.0686731
5146.9772	85.072653
5147.1296	85.0766329
5147.282	85.0806127
5147.4344	85.0845926
5147.5868	85.0885725
5147.7392	85.0925524
5147.8916	85.0965322
5148.044	85.1005121
5148.1964	85.104492
5148.3488	85.1084718
5148.5012	85.1124517
5148.6536	85.1164316
5148.806	85.1204115
5148.9584	85.1243913
5149.1108	85.1283712
5149.2632	85.1323511
5149.4156	85.136331
5149.568	85.1403108
5149.7204	85.1442907
5149.8728	85.1482706
5150.0252	85.1522504
5150.1776	85.1562303
5150.33	85.1602102
5150.4824	85.1641901
5150.6348	85.1681699
5150.7872	85.1721498
5150.9396	85.1761297
5151.092	85.1801096
5151.2444	85.1840894
5151.3968	85.1880693
5151.5492	85.1920492
5151.7016	85.196029
5151.854	85.2000089
5152.0064	85.2039888
5152.1588	85.2079687
5152.3112	85.2119485
5152.4636	85.2159284
5152.616	85.2199083
5152.7684	85.2238882
5152.9208	85.227868
5153.0732	85.2318479
5153.2256	85.2358278
5153.378	85.2398076
5153.5304	85.2437875
5153.6828	85.2477674
5153.8352	85.2517473
5153.9876	85.2557271
5154.14	85.259707
5154.2924	85.2636869
5154.4448	85.2676668
5154.5972	85.2716466
5154.7496	85.2756265
5154.902	85.2796064
5155.0544	85.2835862
5155.2068	85.2875661
5155.3592	85.291546
5155.5116	85.2955259
5155.664	85.2995057
5155.8164	85.3034856
5155.9688	85.3074655
5156.1212	85.3114454
5156.2736	85.3154252
5156.426	85.3194051
5156.5784	85.323385
5156.7308	85.3273648
5156.8832	85.3313447
5157.0356	85.3353246
5157.188	85.3393045
5157.3404	85.3432843
5157.4928	85.3472642
5157.6452	85.3512441
5157.7976	85.3552239
5157.95	85.3592038
5158.1024	85.3631837
5158.2548	85.3671636
5158.4072	85.3711434
5158.5596	85.3751233
5158.712	85.3791032
5158.8644	85.3830831
5159.0168	85.3870629
5159.1692	85.3910428
5159.3216	85.3950227
5159.474	85.3990025
5159.6264	85.4029824
5159.7788	85.4069623
5159.9312	85.4109422
5160.0836	85.414922
5160.236	85.4189019
5160.3884	85.4228818
5160.5408	85.4268617
5160.6932	85.4308415
5160.8456	85.4348214
5160.998	85.4388013
5161.1504	85.4427811
5161.3028	85.446761
5161.4552	85.4507409
5161.6076	85.4547208
5161.76	85.4587006
5161.9124	85.4626805
5162.0648	85.4666604
5162.2172	85.4706403
5162.3696	85.4746201
5162.522	85.4786
5162.6744	85.4825799
5162.8268	85.4865597
5162.9792	85.4905396
5163.1316	85.4945195
5163.284	85.4984994
5163.4364	85.5024792
5163.5888	85.5064591
5163.7412	85.510439
5163.8936	85.5144189
5164.046	85.5183987
5164.1984	85.5223786
5164.3508	85.5263585
5164.5032	85.5303383
5164.6556	85.5343182
5164.808	85.5382981
5164.9604	85.542278
5165.1128	85.5462578
5165.2652	85.5502377
5165.4176	85.5542176
5165.57	85.5581975
5165.7224	85.5621773
5165.8748	85.5661572
5166.0272	85.5701371
5166.1796	85.5741169
5166.332	85.5780968
5166.4844	85.5820767
5166.6368	85.5860566
5166.7892	85.5900364
5166.9416	85.5940163
5167.094	85.5979962
5167.2464	85.6019761
5167.3988	85.6059559
5167.5512	85.6099358
5167.7036	85.6139157
5167.856	85.6178955
5168.0084	85.6218754
5168.1608	85.6258553
5168.3132	85.6298352
5168.4656	85.633815
5168.618	85.6377949
5168.7704	85.6417748
5168.9228	85.6457546
5169.0752	85.6497345
5169.2276	85.6537144
